ticker,regularMarketChange,netExpenseRatio,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,fiftyTwoWeekChangePercent,fiftyTwoWeekLow,regularMarketPrice,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh,performanceRatingOverall,trailing3mReturn,annualReturnNavY1,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall
0P0001EUUH.ST,10.600006,0.0,Handelsbanken Pension 70 (A12 SEK),437.53235,47939437071.0,0.0,2.3366046,0.6569505,367.29,464.25,TOR,ca,450.649,470.9,,6.84,,19.48,,,
0P000017E7.F,0.59000015,0.0,JPM Global Natural Resources A (acc) EUR,21.9842,0.0,0.0,2.3210077,19.53125,18.41,26.01,TOR,ca,24.507,26.01,,5.01,,21.66,,,
0P0001D54L.TO,0.1800003,0.0,DFS GIF Canadian Small Cap Equity NEI 8,6.67455,7553000.0,0.0,2.284268,28.753996,5.44,8.06,TOR,ca,7.6764,8.07,3.0,15.37335,17.10037,25.07937,-14.68048,8.24524,3.0
0P0001K9PX.TO,0.4489994,0.0,CIBC Canadian Small Cap F,16.7868,171554269.0,0.0,2.262999,26.337326,13.1112,20.2899,TOR,ca,19.476171,20.5363,,,,,,,
0P000072UN.TO,1.2999,0.0,CIBC Canadian Small-Cap,48.815598,171554269.0,0.0,2.2595758,29.4585,38.2762,58.8284,TOR,ca,56.531017,59.5956,4.0,12.86139,24.99609,30.17176,-7.31237,25.08867,4.0
0P0000NFYY.TO,0.77220154,0.0,Renaissance Canadian Small Cap Cl O,29.106236,92226150.0,0.0,2.234386,34.70265,22.7304,35.3321,TOR,ca,33.89214,35.7349,0.0,13.47075,27.57391,32.39109,-6.38319,37.48126,0.0
0P0000766Q.TO,0.5963001,0.0,0P0000766Q.TO,22.573557,92226150.0,0.0,2.232414,31.24156,17.667,27.3073,TOR,ca,26.217781,27.6385,,,,,,,
0P0000YV98.TO,0.49479866,0.0,ivari Cdn Equity GIF Cl 2 -GS/GS2,21.208372,3747224.0,0.0,2.2312348,13.176882,19.1898,22.6708,TOR,ca,22.237251,22.6708,2.0,1.20898,18.69762,12.17109,-2.53553,1.12509,2.0
0P0000XURO.TO,0.4911003,0.0,ivari Cdn Equity GIF Emplye-Agent75/100,21.063042,11721111.0,0.0,2.230814,13.048088,19.063,22.5055,TOR,ca,22.077524,22.5055,2.0,1.17981,18.56374,12.05937,-2.63639,1.02892,2.0
0P000074O9.TO,0.21159935,0.0,ivari Cdn Equity GIF - imaxx GIF 75/100,9.08976,11721111.0,0.0,2.230437,12.638354,8.233,9.6985,TOR,ca,9.517412,9.6985,2.0,1.08578,18.13111,11.70521,-2.9871,0.66418,2.0
0P0001025R.TO,0.44280052,0.0,ivari Cdn Eq GIF-NN IP,19.009542,11721111.0,0.0,2.2302725,12.842679,17.2111,20.2969,TOR,ca,19.914516,20.2969,2.0,1.13235,18.33738,11.88308,-2.84862,0.79507,2.0
0P00007377.TO,0.22159958,0.0,ivari Canadian Equity GIF - GS3 75/75,9.526811,11721111.0,0.0,2.2299104,12.477577,8.6315,10.1592,TOR,ca,9.970888,10.1592,1.0,1.04938,17.93867,11.56817,-3.16176,0.46,2.0
0P000074OP.TO,0.23099995,0.0,ivari Cdn Equity GIF - imaxx GIF 75/75,9.920007,11721111.0,0.0,2.2297938,12.812233,8.982,10.5907,TOR,ca,10.391444,10.5907,2.0,1.12549,18.30945,11.85769,-2.86124,0.79185,2.0
0P0001025Z.TO,0.4267006,0.0,ivari Cdn Eq GIF Cl 2-NN IP,18.34729,11721111.0,0.0,2.229261,12.51502,16.6218,19.5676,TOR,ca,19.204388,19.5676,1.0,1.05752,17.99988,11.59964,-3.11673,0.52014,2.0
0P00007378.TO,0.19339943,0.0,ivari Canadian Equity GIF - GS3 75/100,8.330648,11721111.0,0.0,2.2292082,12.007629,7.5545,8.8691,TOR,ca,8.708294,8.8691,1.0,0.94009,17.44895,11.16137,-3.5587,0.06052,2.0
0P000070KI.TO,1.0461006,0.0,Renaissance Can soc petite cap,39.83739,92226150.0,0.0,2.2287478,31.74125,31.2591,47.9828,TOR,ca,46.119255,48.6082,4.0,12.87066,24.89863,30.0074,-8.33355,35.68128,4.0
0P0000M6K1.TO,0.46509933,0.0,ivari Canadian Equity GIF,20.039768,11721111.0,0.0,2.2282982,12.041402,18.1714,21.3375,TOR,ca,20.950087,21.3375,1.0,0.94843,17.48981,11.19078,-3.53276,0.08605,2.0
